Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,Duration
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6,3,12,2023-05-02 00:10:29.754,2023-05-02 00:10:32.672,2.918
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8,3,12,2023-05-02 00:10:36.385,2023-05-02 00:10:39.137,2.7520000000000002
46,Done.,Joey,neutral,neutral,3,9,3,12,2023-05-02 00:10:39.680,2023-05-02 00:10:41.181,1.5010000000000001
47,Hey!,Rachel,surprise,positive,4,0,3,11,2023-05-02 00:20:23.931,2023-05-02 00:20:24.891,0.9600000000000001
48,Hi!,Ross,joy,positive,4,1,3,11,2023-05-02 00:20:24.891,2023-05-02 00:20:25.028,0.137
49,What are you doing here?,Rachel,surprise,positive,4,2,3,11,2023-05-02 00:20:25.140,2023-05-02 00:20:26.265,1.125
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3,3,11,2023-05-02 00:20:26.433,2023-05-02 00:20:29.185,2.7520000000000002
51,Oh.,Rachel,neutral,neutral,4,4,3,11,2023-05-02 00:20:29.394,2023-05-02 00:20:30.771,1.377
52,Hi.,Ross,neutral,neutral,4,5,3,11,2023-05-02 00:20:30.771,2023-05-02 00:20:30.873,0.10200000000000001
53,Hi.,Rachel,neutral,neutral,4,6,3,11,2023-05-02 00:20:30.873,2023-05-02 00:20:31.135,0.262
54,Howd did it go?,Ross,neutral,neutral,4,7,3,11,2023-05-02 00:20:31.188,2023-05-02 00:20:32.230,1.042
56,Im so proud of you.,Ross,joy,positive,4,9,3,11,2023-05-02 00:20:40.614,2023-05-02 00:20:41.991,1.377
57,Me too!,Rachel,joy,positive,4,10,3,11,2023-05-02 00:20:41.991,2023-05-02 00:20:43.543,1.552
59,I know.,Rachel,neutral,neutral,4,12,3,11,2023-05-02 00:20:53.752,2023-05-02 00:20:54.794,1.042
60,Yeah.,Ross,neutral,neutral,4,13,3,11,2023-05-02 00:20:54.962,2023-05-02 00:20:55.380,0.41800000000000004
61,Yeah.,Rachel,neutral,neutral,4,14,3,11,2023-05-02 00:20:55.380,2023-05-02 00:20:56.057,0.677
62,Ameri-can.,Phoebe,neutral,neutral,5,0,3,15,2023-05-02 00:22:18.545,2023-05-02 00:22:20.297,1.752
63,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,2023-05-02 00:22:20.297,2023-05-02 00:22:20.476,0.17900000000000002
64,Ameri-can. Y'know its a,Phoebe,neutral,neutral,5,2,3,15,2023-05-02 00:22:20.589,2023-05-02 00:22:23.507,2.918
65,Everybody!!,Sergei,surprise,positive,5,3,3,15,2023-05-02 00:22:25.844,2023-05-02 00:22:28.679,2.835
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0,8,22,2023-05-02 00:12:24.315,2023-05-02 00:12:27.526,3.2110000000000003
67,You liked it? You really liked it?,Joey,surprise,positive,6,1,8,22,2023-05-02 00:12:28.194,2023-05-02 00:12:29.796,1.602
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2,8,22,2023-05-02 00:12:29.796,2023-05-02 00:12:31.501,1.705
69,Which part exactly?,Joey,neutral,neutral,6,3,8,22,2023-05-02 00:12:31.655,2023-05-02 00:12:33.657,2.0020000000000002
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4,8,22,2023-05-02 00:12:33.657,2023-05-02 00:12:36.243,2.5860000000000003
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5,8,22,2023-05-02 00:12:36.368,2023-05-02 00:12:38.746,2.378
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6,8,22,2023-05-02 00:12:38.954,2023-05-02 00:12:43.000,4.046
75,You fell asleep!!,Joey,anger,negative,6,9,8,22,2023-05-02 00:12:55.930,2023-05-02 00:12:56.931,1.0010000000000001
76,There was no kangaroo!,Joey,anger,negative,6,10,8,22,2023-05-02 00:12:58.432,2023-05-02 00:12:59.809,1.377
77,They didnt take any of my suggestions!,Joey,anger,negative,6,11,8,22,2023-05-02 00:12:59.809,2023-05-02 00:13:03.196,3.387
78,Thats for coming buddy.,Joey,neutral,neutral,6,12,8,22,2023-05-02 00:13:05.940,2023-05-02 00:13:07.242,1.302
79,Ill see you later.,Joey,neutral,neutral,6,13,8,22,2023-05-02 00:13:07.242,2023-05-02 00:13:08.202,0.9600000000000001
80,Dont go!,Chandler,sadness,negative,6,14,8,22,2023-05-02 00:13:08.202,2023-05-02 00:13:08.804,0.6020000000000001
81,Im sorry.,Chandler,sadness,negative,6,15,8,22,2023-05-02 00:13:08.804,2023-05-02 00:13:09.526,0.7220000000000001
82,Im so sorry!,Chandler,sadness,negative,6,16,8,22,2023-05-02 00:13:09.526,2023-05-02 00:13:10.832,1.306
83,Look!,Chandler,surprise,negative,6,17,8,22,2023-05-02 00:13:10.945,2023-05-02 00:13:11.407,0.462
84,This guy fell asleep!,Chandler,anger,negative,6,18,8,22,2023-05-02 00:13:11.407,2023-05-02 00:13:12.589,1.1820000000000002
85,He fell asleep too!,Chandler,anger,negative,6,19,8,22,2023-05-02 00:13:12.589,2023-05-02 00:13:13.215,0.626
86,Be mad at him!,Chandler,anger,negative,6,20,8,22,2023-05-02 00:13:13.215,2023-05-02 00:13:14.108,0.893
87,"Or, call an ambulance.",Chandler,anger,negative,6,21,8,22,2023-05-02 00:13:16.367,2023-05-02 00:13:18.244,1.8770000000000002
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0,6,9,2023-05-02 00:12:51.020,2023-05-02 00:12:53.897,2.8770000000000002
89,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1,6,9,2023-05-02 00:12:54.106,2023-05-02 00:12:58.193,4.087000000000001
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0,6,23,2023-05-02 00:19:17.865,2023-05-02 00:19:21.951,4.086
92,"Okay, thats enough honey!",Chandler,neutral,neutral,8,2,6,23,2023-05-02 00:19:25.372,2023-05-02 00:19:26.706,1.334
94,"Great! Okay, here.",Chandler,joy,positive,8,4,6,23,2023-05-02 00:19:32.129,2023-05-02 00:19:34.964,2.835
95,All right.,Customer,neutral,neutral,8,5,6,23,2023-05-02 00:19:37.342,2023-05-02 00:19:39.934,2.592
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6,6,23,2023-05-02 00:19:39.934,2023-05-02 00:19:40.074,0.14
97,What've you been up to?,Chandler,neutral,neutral,9,0,2,5,2023-05-02 00:01:51.903,2023-05-02 00:01:54.738,2.835
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3,2,5,2023-05-02 00:02:10.547,2023-05-02 00:02:14.758,4.211
101,I know.,Ross,neutral,neutral,9,4,2,5,2023-05-02 00:02:13.091,2023-05-02 00:02:14.758,1.667
102,I'm back.,Chandler,neutral,neutral,9,5,2,5,2023-05-02 00:02:16.261,2023-05-02 00:02:16.903,0.642
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6,2,5,2023-05-02 00:02:16.903,2023-05-02 00:02:19.185,2.282
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8,2,5,2023-05-02 00:02:25.770,2023-05-02 00:02:28.647,2.8770000000000002
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9,2,5,2023-05-02 00:02:32.318,2023-05-02 00:02:34.528,2.21
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11,2,5,2023-05-02 00:02:47.375,2023-05-02 00:02:52.337,4.962000000000001
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12,2,5,2023-05-02 00:02:52.547,2023-05-02 00:02:55.299,2.7520000000000002
111,Nobody!,Phoebe,anger,negative,10,0,5,10,2023-05-02 00:11:57.091,2023-05-02 00:11:58.551,1.4600000000000002
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1,5,10,2023-05-02 00:11:58.551,2023-05-02 00:11:59.947,1.3960000000000001
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2,5,10,2023-05-02 00:12:00.553,2023-05-02 00:12:02.721,2.168
114,Look!,Phoebe,anger,negative,10,3,5,10,2023-05-02 00:12:02.888,2023-05-02 00:12:04.597,1.709
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4,5,10,2023-05-02 00:12:02.888,2023-05-02 00:12:07.016,4.128
116,No.,Monica,neutral,neutral,10,5,5,10,2023-05-02 00:12:04.765,2023-05-02 00:12:07.016,2.2510000000000003
117,This is my wedding.,Ross,neutral,neutral,11,0,4,23,2023-05-02 00:03:10.815,2023-05-02 00:03:12.024,1.209
118,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",Monica,anger,negative,11,1,4,23,2023-05-02 00:03:13.318,2023-05-02 00:03:16.737,3.419
119,Fine. Youll-youll watch it on video when we get back.,Ross,neutral,neutral,11,2,4,23,2023-05-02 00:03:18.781,2023-05-02 00:03:21.491,2.71
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,2023-05-02 00:03:22.869,2023-05-02 00:03:25.704,2.835
121,Thank you.,Phoebe,neutral,neutral,11,4,4,23,2023-05-02 00:03:27.790,2023-05-02 00:03:28.791,1.0010000000000001
122,Thank you.,Phoebe,neutral,neutral,11,5,4,23,2023-05-02 00:03:28.791,2023-05-02 00:03:28.931,0.14
123,"All right, lets go! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,2023-05-02 00:03:32.503,2023-05-02 00:03:34.463,1.9600000000000002
124,"Bye, Pheebs!",Joey,joy,positive,11,7,4,23,2023-05-02 00:03:34.631,2023-05-02 00:03:36.340,1.709
125,London baby!!,Joey,joy,positive,11,8,4,23,2023-05-02 00:03:40.803,2023-05-02 00:03:42.554,1.7510000000000001
127,Hey!,Chandler,neutral,neutral,12,0,6,4,2023-05-02 00:09:47.295,2023-05-02 00:09:49.045,1.75
129,"Thats great, but shouldnt you be on the toilet right now?",Chandler,disgust,negative,12,2,6,4,2023-05-02 00:09:57.346,2023-05-02 00:10:00.890,3.544
130,What?!,Joey,surprise,negative,12,3,6,4,2023-05-02 00:10:04.312,2023-05-02 00:10:05.647,1.3350000000000002
131,Whats wrong with you?,Chandler,disgust,negative,12,4,6,4,2023-05-02 00:10:05.647,2023-05-02 00:10:06.929,1.282
132,Nothing!,Joey,neutral,neutral,12,5,6,4,2023-05-02 00:10:07.023,2023-05-02 00:10:08.023,1.0
134,"But um, I dont think its anything serious.",Joey,neutral,neutral,12,7,6,4,2023-05-02 00:10:18.743,2023-05-02 00:10:21.536,2.793
135,This sounds like a hernia. You have toyou-you go to the doctor!,Chandler,surprise,negative,12,8,6,4,2023-05-02 00:10:21.704,2023-05-02 00:10:24.706,3.0020000000000002
137,Thats a hernia.,Chandler,disgust,negative,12,10,6,4,2023-05-02 00:10:34.842,2023-05-02 00:10:36.009,1.167
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0,8,8,2023-05-02 00:10:36.844,2023-05-02 00:10:40.930,4.086
142,So much more.,Ross,neutral,neutral,13,3,8,8,2023-05-02 00:10:51.567,2023-05-02 00:10:53.485,1.9180000000000001
144,Okay,Mona,neutral,neutral,14,1,8,11,2023-05-02 00:13:57.253,2023-05-02 00:14:00.171,2.918
146,Really?!,Mona,surprise,positive,14,3,8,11,2023-05-02 00:14:12.184,2023-05-02 00:14:14.986,2.802
147,Really.,Ross,neutral,neutral,14,4,8,11,2023-05-02 00:14:14.986,2023-05-02 00:14:15.320,0.334
148,You dont think this is too fast.,Mona,neutral,neutral,14,5,8,11,2023-05-02 00:14:16.897,2023-05-02 00:14:20.316,3.419
149,Get Out!,Ross,anger,negative,15,0,9,23,2023-05-02 00:42:09.652,2023-05-02 00:42:13.488,3.8360000000000003
150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1,9,23,2023-05-02 00:42:15.032,2023-05-02 00:42:16.908,1.8760000000000001
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3,9,23,2023-05-02 00:42:26.126,2023-05-02 00:42:29.754,3.628
155,I knew that was him!,Ross,anger,negative,15,6,9,23,2023-05-02 00:42:42.059,2023-05-02 00:42:44.561,2.5020000000000002
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7,9,23,2023-05-02 00:42:46.313,2023-05-02 00:42:50.108,3.7950000000000004
157,"Hey, you ok?",Ross,neutral,neutral,15,8,9,23,2023-05-02 00:42:51.068,2023-05-02 00:42:52.950,1.8820000000000001
158,I guess.,Charlie,sadness,negative,15,9,9,23,2023-05-02 00:42:52.950,2023-05-02 00:42:55.208,2.258
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13,9,23,2023-05-02 00:43:19.388,2023-05-02 00:43:22.765,3.3770000000000002
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14,9,23,2023-05-02 00:43:22.933,2023-05-02 00:43:24.905,1.9720000000000002
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,2023-05-02 00:43:24.905,2023-05-02 00:43:27.073,2.168
165,"Ok, gentlemen!",Ross,anger,negative,15,16,9,23,2023-05-02 00:43:27.187,2023-05-02 00:43:28.147,0.9600000000000001
166,Please!,Ross,anger,negative,15,17,9,23,2023-05-02 00:43:28.147,2023-05-02 00:43:28.699,0.552
167,Aren't we a little old for this?,Ross,anger,negative,15,18,9,23,2023-05-02 00:43:28.699,2023-05-02 00:43:30.985,2.286
168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19,9,23,2023-05-02 00:43:31.066,2023-05-02 00:43:32.788,1.7220000000000002
169,We're academics.,Ross,anger,negative,15,20,9,23,2023-05-02 00:43:32.788,2023-05-02 00:43:33.798,1.01
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21,9,23,2023-05-02 00:43:33.902,2023-05-02 00:43:37.780,3.878
172,"GO, GO, GO!",Ross,joy,positive,15,22,9,23,2023-05-02 00:43:37.948,2023-05-02 00:43:40.366,2.418
173,"Go, go, go!",Ross,joy,positive,16,0,3,25,2023-05-02 00:04:41.197,2023-05-02 00:04:42.239,1.042
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1,3,25,2023-05-02 00:04:42.407,2023-05-02 00:04:44.574,2.1670000000000003
175,Oy!!,Phoebe,disgust,negative,16,2,3,25,2023-05-02 00:04:49.455,2023-05-02 00:04:50.747,1.292
176,Whats with all this sand?,Monica,surprise,negative,16,3,3,25,2023-05-02 00:04:52.333,2023-05-02 00:04:54.001,1.6680000000000001
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4,3,25,2023-05-02 00:04:54.168,2023-05-02 00:04:56.795,2.6270000000000002
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5,3,25,2023-05-02 00:04:57.005,2023-05-02 00:04:59.214,2.209
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0,5,19,2023-05-02 00:06:15.416,2023-05-02 00:06:19.127,3.7110000000000003
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1,5,19,2023-05-02 00:06:21.506,2023-05-02 00:06:25.542,4.0360000000000005
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2,5,19,2023-05-02 00:06:25.551,2023-05-02 00:06:29.012,3.4610000000000003
182,Rach? What are you doing?,Monica,neutral,neutral,17,3,5,19,2023-05-02 00:06:32.183,2023-05-02 00:06:33.517,1.334
183,"Oh boy, I just can't watch. It's too scary!",Rachel,fear,negative,17,4,5,19,2023-05-02 00:06:33.976,2023-05-02 00:06:37.020,3.044
184,It's a diaper commercial.,Monica,neutral,neutral,17,5,5,19,2023-05-02 00:06:37.480,2023-05-02 00:06:39.731,2.2510000000000003
185,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",Rachel,fear,negative,17,6,5,19,2023-05-02 00:06:40.817,2023-05-02 00:06:43.735,2.918
186,Pizza delivery!,Caitlin,joy,positive,17,7,5,19,2023-05-02 00:06:47.281,2023-05-02 00:06:49.793,2.512
187,I'll get it! I will get that!,Ross,joy,positive,17,8,5,19,2023-05-02 00:06:49.793,2023-05-02 00:06:50.887,1.094
188,Hi!,Caitlin,joy,positive,17,9,5,19,2023-05-02 00:06:53.538,2023-05-02 00:06:54.665,1.127
189,Hi!,Ross,joy,positive,17,10,5,19,2023-05-02 00:06:54.665,2023-05-02 00:06:54.803,0.138
190,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",Ross,neutral,neutral,18,0,5,21,2023-05-02 00:05:05.096,2023-05-02 00:05:09.474,4.378
191,"Uhh, the ball thing.",Joey,neutral,neutral,18,1,5,21,2023-05-02 00:05:09.642,2023-05-02 00:05:11.603,1.961
192,Yeah?,Ross,neutral,neutral,18,2,5,21,2023-05-02 00:05:11.603,2023-05-02 00:05:12.542,0.9390000000000001
194,"Uhh,",Ross,neutral,neutral,18,4,5,21,2023-05-02 00:05:19.277,2023-05-02 00:05:22.279,3.0020000000000002
195,Okay!,Joey,joy,positive,18,5,5,21,2023-05-02 00:05:23.489,2023-05-02 00:05:24.990,1.5010000000000001
196,Uh-oh.,Joey,fear,negative,18,6,5,21,2023-05-02 00:05:28.578,2023-05-02 00:05:29.670,1.092
197,What?,Ross,neutral,neutral,18,7,5,21,2023-05-02 00:05:29.670,2023-05-02 00:05:30.222,0.552
198,I have to pee. And Rachel's in the bathroom!,Joey,sadness,negative,18,8,5,21,2023-05-02 00:05:30.330,2023-05-02 00:05:34.166,3.8360000000000003
199,"Man, I didn't think we were gonna make it!",Joey,surprise,positive,18,9,5,21,2023-05-02 00:05:39.047,2023-05-02 00:05:41.548,2.5010000000000003
200,"I know!  Don't switch hands, okay?",Ross,fear,negative,18,10,5,21,2023-05-02 00:05:42.383,2023-05-02 00:05:45.969,3.5860000000000003
201,Hey.,Joey,neutral,neutral,19,0,1,1,2023-05-02 00:10:11.861,2023-05-02 00:10:14.990,3.129
202,Hey!,Phoebe,neutral,neutral,19,1,1,1,2023-05-02 00:10:14.990,2023-05-02 00:10:15.133,0.14300000000000002
203,How did it go with Erin?,Rachel,neutral,neutral,20,0,7,7,2023-05-02 00:10:56.155,2023-05-02 00:10:59.157,3.0020000000000002
204,"Oh, unbelievable! We had the best time!",Joey,joy,positive,20,1,7,7,2023-05-02 00:10:59.408,2023-05-02 00:11:01.368,1.9600000000000002
205,"Yay!! Oh so, youre not, youre not mad at us anymore?",Phoebe,joy,positive,20,2,7,7,2023-05-02 00:11:01.535,2023-05-02 00:11:06.164,4.6290000000000004
206,No!,Joey,joy,positive,20,3,7,7,2023-05-02 00:11:02.703,2023-05-02 00:11:03.538,0.8350000000000001
207,No!,Joey,joy,positive,20,4,7,7,2023-05-02 00:11:03.538,2023-05-02 00:11:04.760,1.222
208,No!,Joey,joy,positive,20,5,7,7,2023-05-02 00:11:04.760,2023-05-02 00:11:05.303,0.543
209,You guys were totally right!,Joey,joy,positive,20,6,7,7,2023-05-02 00:11:05.303,2023-05-02 00:11:06.298,0.9950000000000001
210,This is so much better than the first time we went out.,Joey,joy,positive,20,7,7,7,2023-05-02 00:11:06.374,2023-05-02 00:11:08.625,2.2510000000000003
211,Yknow?,Joey,neutral,neutral,20,8,7,7,2023-05-02 00:11:08.625,2023-05-02 00:11:08.834,0.20900000000000002
212,"That was so awkward, we were really nervous.",Joey,neutral,neutral,20,9,7,7,2023-05-02 00:11:08.834,2023-05-02 00:11:11.378,2.544
213,Didnt you sleep together?,Phoebe,neutral,neutral,20,10,7,7,2023-05-02 00:11:11.629,2023-05-02 00:11:12.811,1.1820000000000002
214,"Yeah, that really calms me down.",Joey,neutral,neutral,20,11,7,7,2023-05-02 00:11:12.811,2023-05-02 00:11:14.723,1.9120000000000001
215,And!,Joey,joy,positive,20,12,7,7,2023-05-02 00:11:16.801,2023-05-02 00:11:18.595,1.794
216,We have so much in common!,Joey,joy,positive,20,13,7,7,2023-05-02 00:11:18.595,2023-05-02 00:11:18.734,0.139
219,Okay.,Joey,neutral,neutral,20,16,7,7,2023-05-02 00:11:41.742,2023-05-02 00:11:43.493,1.7510000000000001
220,How does she do that?,Monica,surprise,negative,21,0,1,4,2023-05-02 00:01:49.275,2023-05-02 00:01:51.485,2.21
221,I cannot sleep in a public place.,Ross,neutral,neutral,21,1,1,4,2023-05-02 00:01:51.653,2023-05-02 00:01:54.822,3.169
223,Oh! What what what! ...Hi.,Phoebe,surprise,positive,21,3,1,4,2023-05-02 00:02:01.162,2023-05-02 00:02:03.622,2.46
224,"It's okay, y'know, you just nodded off again.",Ross,neutral,neutral,21,4,1,4,2023-05-02 00:02:03.790,2023-05-02 00:02:05.958,2.168
225,What's going on with you?,Monica,surprise,positive,21,5,1,4,2023-05-02 00:02:06.126,2023-05-02 00:02:08.127,2.0010000000000003
226,I got no sleep last night!,Phoebe,anger,negative,21,6,1,4,2023-05-02 00:02:08.294,2023-05-02 00:02:09.587,1.2930000000000001
227,Why?,Ross,neutral,neutral,21,7,1,4,2023-05-02 00:02:09.587,2023-05-02 00:02:09.991,0.404
229,"Oh, and deaf.",Phoebe,neutral,neutral,21,9,1,4,2023-05-02 00:02:17.345,2023-05-02 00:02:18.887,1.542
230,"So they're constantly, like, having to reassure each other that they're having a good time.",Phoebe,neutral,neutral,21,10,1,4,2023-05-02 00:02:20.682,2023-05-02 00:02:24.726,4.0440000000000005
231,You have no idea how loud they are!,Phoebe,disgust,negative,21,11,1,4,2023-05-02 00:02:24.894,2023-05-02 00:02:26.937,2.043
232,"Well, if you want, you can stay with Rachel and me tonight.",Monica,neutral,neutral,21,12,1,4,2023-05-02 00:02:29.023,2023-05-02 00:02:30.900,1.8770000000000002
233,Thanks.,Phoebe,joy,positive,21,13,1,4,2023-05-02 00:02:30.900,2023-05-02 00:02:32.175,1.2750000000000001
234,Ew! What is that? Something exploded!,Joey,disgust,negative,22,0,1,23,2023-05-02 00:09:00.248,2023-05-02 00:09:03.667,3.419
235,"It's just her water breaking. Calm down, will you?",Nurse,neutral,neutral,22,1,1,23,2023-05-02 00:09:03.834,2023-05-02 00:09:06.169,2.335
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,surprise,negative,22,2,1,23,2023-05-02 00:09:06.337,2023-05-02 00:09:09.714,3.3770000000000002
